Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
javapoet,com.squareup.javapoet,ClassNameTest,Law of Demeter violation,The tool detected the smell in this method (classNameFromClass) because the method voilates the law of Demeter. The long chain of method invocations is : com.squareup.javapoet.ClassName.get; com.squareup.javapoet.TypeName.toString
javapoet,com.squareup.javapoet,ClassNameTest,Law of Demeter violation,The tool detected the smell in this method (classNameFromClass) because the method voilates the law of Demeter. The long chain of method invocations is : com.squareup.javapoet.ClassName.get; com.squareup.javapoet.TypeName.toString
javapoet,com.squareup.javapoet,ClassNameTest,Law of Demeter violation,The tool detected the smell in this method (peerClass) because the method voilates the law of Demeter. The long chain of method invocations is : com.squareup.javapoet.ClassName.get; com.squareup.javapoet.ClassName.peerClass
javapoet,com.squareup.javapoet,ClassNameTest,Law of Demeter violation,The tool detected the smell in this method (reflectionName) because the method voilates the law of Demeter. The long chain of method invocations is : com.squareup.javapoet.ClassName.reflectionName; com.squareup.javapoet.ClassName.get
javapoet,com.squareup.javapoet,ClassNameTest,Law of Demeter violation,The tool detected the smell in this method (reflectionName) because the method voilates the law of Demeter. The long chain of method invocations is : com.squareup.javapoet.ClassName.reflectionName; com.squareup.javapoet.ClassName.get
javapoet,com.squareup.javapoet,ClassNameTest,Law of Demeter violation,The tool detected the smell in this method (canonicalName) because the method voilates the law of Demeter. The long chain of method invocations is : com.squareup.javapoet.ClassName.get; com.squareup.javapoet.ClassName.canonicalName
javapoet,com.squareup.javapoet,ClassNameTest,Law of Demeter violation,The tool detected the smell in this method (canonicalName) because the method voilates the law of Demeter. The long chain of method invocations is : com.squareup.javapoet.ClassName.get; com.squareup.javapoet.ClassName.canonicalName
javapoet,com.squareup.javapoet,FileReadingTest,Law of Demeter violation,The tool detected the smell in this method (javaFileObjectUri) because the method voilates the law of Demeter. The long chain of method invocations is : com.squareup.javapoet.JavaFile.toJavaFileObject; com.squareup.javapoet.JavaFile.builder
javapoet,com.squareup.javapoet,FileReadingTest,Law of Demeter violation,The tool detected the smell in this method (javaFileObjectUri) because the method voilates the law of Demeter. The long chain of method invocations is : com.squareup.javapoet.JavaFile.toJavaFileObject; com.squareup.javapoet.JavaFile.builder
javapoet,com.squareup.javapoet,FileReadingTest,Law of Demeter violation,The tool detected the smell in this method (javaFileObjectUri) because the method voilates the law of Demeter. The long chain of method invocations is : com.squareup.javapoet.JavaFile.toJavaFileObject; com.squareup.javapoet.JavaFile.builder
